Artículo;Evaluador 1;Evaluador 2;Acuerdo;Título
1;Sí;Sí;✓;Exploring the Integration of Generative AI Tools in Software
2;Sí;Sí;✓;Assessing GitHub Copilot in Solidity Development: Capabiliti
3;Sí;Sí;✓;VSEST 29110 Tool: Using ChatGPT to Evaluate the Implementati
4;Sí;Sí;✓;2024 IEEE/ACM 46th International Conference on Software Engi
5;Sí;Sí;✓;Cypress Copilot: Development of an AI Assistant for Boosting
6;Sí;Sí;✓;Analysis of ChatGPT-Generated Codes Across Multiple Programm
7;Sí;No;✗;2024 IEEE/ACM International Workshop on Natural Language-Bas
8;Sí;Sí;✓;Preconditions and Postconditions as Design Constraints for L
9;Sí;Sí;✓;2024 IEEE/ACM 46th International Conference on Software Engi
10;Sí;Sí;✓;2024 IEEE/ACM 46th International Conference on Software Engi
11;Sí;Sí;✓;A Literature Review of Using Machine Learning in Software De
12;Sí;Sí;✓;Analyzing LLM-Generated Code According to Four ISO/IEC 5055:
13;Sí;Sí;✓;Requirements Engineering in Machine Learning Projects
14;Sí;Sí;✓;CaPBug-A Framework for Automatic Bug Categorization and Prio
15;No;No;✓;An Extended Survey Concerning the Significance of Artificial
16;Sí;Sí;✓;Exploring the Landscape of Programming Language Identificati
17;Sí;Sí;✓;Review and Empirical Analysis of Machine Learning-Based Soft
18;Sí;Sí;✓;2022 IEEE/ACM 1st International Workshop on Software Enginee
19;Sí;No;✗;2022 IEEE/ACM 4th International Workshop on Software Enginee
20;Sí;Sí;✓;Improved Software Effort Estimation Through Machine Learning
21;Sí;Sí;✓;Bridging Precision and Complexity: A Novel Machine Learning 
22;Sí;Sí;✓;Test Suite Optimization Using Machine Learning Techniques: A
23;Sí;Incierto;✗;Software-Engineering Design Patterns for Machine Learning Ap
24;Sí;Sí;✓;Effective Software Effort Estimation Leveraging Machine Lear
25;Sí;Sí;✓;Machine Learning Based Embedded Code Multi-Label Classificat
26;Sí;Sí;✓;Identifying Non-Functional Requirements From Unconstrained D
27;No;No;✓;Machine Learning Approaches to Code Similarity Measurement: 
28;Sí;Sí;✓;Defect Detection and Correction in OpenMP: A Static Analysis
29;Sí;Sí;✓;Leveraging Machine Learning for Enhanced Bug Triaging in Ope
30;Sí;Sí;✓;Cloud-based machine learning for scalable classification of 
31;Sí;Sí;✓;Evaluating time-dependent methods and seasonal effects in co
32;Sí;No;✗;Training-free, Identity-preserving Image Editing for Fashion
33;Sí;Sí;✓;Examining the impact of bias mitigation algorithms on the su
34;No;No;✓;“Your AI is impressive, but my code does not have any bugs” 
35;Sí;Sí;✓;Naming the Pain in machine learning-enabled systems engineer
36;Sí;No;✗;Accountability in Code Review: The Role of Intrinsic Drivers
37;No;No;✓;Securing social network user data in large language model de
38;No;No;✓;Still just personal assistants? – A multiple case study of g
39;Incierto;Incierto;✓;AI-Driven Optimization of Functional Feature Placement in Au
40;No;No;✓;Automation in Construction (2000–2023): Science Mapping and 
41;Sí;Sí;✓;RAGVA: Engineering retrieval augmented generation-based virt
42;Sí;Sí;✓;PREDICTION OF SOFTWARE ANOMALIES METHODS BASED ON ENSEMBLE L
43;Sí;Sí;✓;Copiloting the future: How generative AI transforms Software
44;Sí;Sí;✓;Using artificial intelligence in software development proces
45;Sí;Sí;✓;Emergence of Player Tactics by expert-guided Machine Learnin
