source;titulo;autores;año;venue;relevance_score;abstract
Scopus;Still just personal assistants? – A multiple case study of generative AI adoptio;Kemell, Kai Kristian and Saarikallio, Matti and Nguyen-Duc, ;2025;Information and Software Technology;95;Context: Generative AI (GenAI) is argued to transform software engineering (SE) in various ways, and GenAI tools show promise for various SE tasks. Software organizations across the globe are currentl
Scopus;Navigating the Complexity of Generative AI Adoption in Software Engineering;Russo, Daniel;2024;ACM Transactions on Software Engineering and Metho;90;This article explores the adoption of Generative Artificial Intelligence (AI) tools within the domain of software engineering, focusing on the influencing factors at the individual, technological, and
Scopus;AI-Augmented Software Engineering: Revolutionizing or Challenging Software Quali;Ramos, Tafline and Dean, Amanda and McGregor, David;2025;Journal of Software: Evolution and Process;85;With organizations seeking faster, cheaper, and smarter ways of delivering higher quality software, many are looking towards generative artificial intelligence (AI) to drive efficiencies and innovatio
Scopus;Copiloting the future: How generative AI transforms Software Engineering;Banh, Leonardo and Holldack, Florian and Strobel, Gero;2025;Information and Software Technology;75;Context: With rapid technological advancements, artificial intelligence (AI) has become integral to various sectors. Generative AI (GenAI) tools like ChatGPT or GitHub Copilot, with their unique conte
IEEE;Exploring the Integration of Generative AI Tools in Software Testing Education: ;Haldar, Susmita and Pierce, Mary and Fernando Capretz, Luiz;2025;IEEE Access;70;Software testing education is important for building qualified testing professionals. To ensure that software testing graduates are ready for real-world challenges, it is necessary to integrate modern
Scopus;Rich Data Versus Quantity of Data in Code Generation AI: A Paradigm Shift for He;Ramachandran, Muthu and Fouracre, Steven;2025;Blockchain in Healthcare Today;70;In the context of Code Generation AI (Code Gen AI), “rich” and “quality” data refer to datasets that are not only syntactically and structurally sound but also context-aware, domain-specific, and sema
Scopus;LLMs: A game-changer for software engineers?;Haque, Md Asraful;2025;BenchCouncil Transactions on Benchmarks, Standards;70;Large Language Models (LLMs) like GPT-3 and GPT-4 have emerged as groundbreaking innovations with capabilities that extend far beyond traditional AI applications. These sophisticated models, trained o
Scopus;Enabling efficient and low-effort decentralized federated learning with the Edge;Zhang, Hongyi and Bosch, Jan and Olsson, Helena Holmström;2025;Information and Software Technology;65;Context: Federated Learning (FL) has gained prominence as a solution for preserving data privacy in machine learning applications. However, existing FL frameworks pose challenges for software engineer
Scopus;Redefining the Programmer: Human-AI Collaboration, LLMs, and Security in Modern ;De La Cruz, Elyson and Le, Hanh and Meduri, Karthik and Nade;2025;Computers, Materials and Continua;65;The rapid integration of artificial intelligence (AI) into software development, driven by large language models (LLMs), is reshaping the role of programmers from traditional coders into strategic col
Scopus;Continuous Software Engineering Practices in AI/ML Development Past the Narrow L;Vänskä, Sini and Kemell, Kai Kristian and Mikkonen, Tommi an;2024;E-Informatica Software Engineering Journal;65;Background: Continuous software engineering practices are currently considered state of the art in software engineering (SE). Recently, this interest in continuous SE has extended to ML system develop
