id;source;titulo;año;venue;relevance_score;crit_1_ia;crit_2_se;crit_3_empirical;crit_4_adoption;decision;reason;rayyan_note
1;Scopus;Still just personal assistants? – A multiple case study of generative AI adoptio;2025;Information and Software Technology;95;Sí;Sí;Sí;No;Sí;Cumple 3/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: Sí
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: Cumple 3/4 criterios
RELEVANCIA: 95/100
"
2;Scopus;Navigating the Complexity of Generative AI Adoption in Software Engineering;2024;ACM Transactions on Software Engineering and Metho;90;Sí;Sí;No;Sí;Sí;Cumple 3/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: Sí
RAZÓN: Cumple 3/4 criterios
RELEVANCIA: 90/100
"
3;Scopus;AI-Augmented Software Engineering: Revolutionizing or Challenging Software Quali;2025;Journal of Software: Evolution and Process;85;No;Sí;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 85/100
"
4;Scopus;Copiloting the future: How generative AI transforms Software Engineering;2025;Information and Software Technology;75;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 75/100
"
5;IEEE;Exploring the Integration of Generative AI Tools in Software Testing Education: ;2025;IEEE Access;70;Sí;Sí;No;Sí;Sí;Cumple 3/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: Sí
RAZÓN: Cumple 3/4 criterios
RELEVANCIA: 70/100
"
6;Scopus;Rich Data Versus Quantity of Data in Code Generation AI: A Paradigm Shift for He;2025;Blockchain in Healthcare Today;70;No;No;No;No;No;Cumple solo 0/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 0/4 criterios
RELEVANCIA: 70/100
"
7;Scopus;LLMs: A game-changer for software engineers?;2025;BenchCouncil Transactions on Benchmarks, Standards;70;Sí;No;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 70/100
"
8;Scopus;Enabling efficient and low-effort decentralized federated learning with the Edge;2025;Information and Software Technology;65;Sí;No;No;Sí;Incierto;Cumple 2/4 criterios (parcial);"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: Incierto
RAZÓN: Cumple 2/4 criterios (parcial)
RELEVANCIA: 65/100
"
9;Scopus;Redefining the Programmer: Human-AI Collaboration, LLMs, and Security in Modern ;2025;Computers, Materials and Continua;65;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 65/100
"
10;Scopus;Continuous Software Engineering Practices in AI/ML Development Past the Narrow L;2024;E-Informatica Software Engineering Journal;65;No;Sí;Sí;Sí;Sí;Cumple 3/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: Sí
4. Adopción/Competencias: Sí

DECISIÓN: Sí
RAZÓN: Cumple 3/4 criterios
RELEVANCIA: 65/100
"
11;Scopus;Securing social network user data in large language model deployments: challenge;2025;Cluster Computing;60;Sí;Sí;No;Sí;Sí;Cumple 3/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: Sí
RAZÓN: Cumple 3/4 criterios
RELEVANCIA: 60/100
"
12;Scopus;AI-Driven Software Test Automation: An AI4SE-Oriented Survey of Techniques, Tool;2025;IEEE Access;60;No;Sí;Sí;No;Incierto;Cumple 2/4 criterios (parcial);"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: Sí
4. Adopción/Competencias: No

DECISIÓN: Incierto
RAZÓN: Cumple 2/4 criterios (parcial)
RELEVANCIA: 60/100
"
13;Scopus;CODING WITH AI AS AN ASSISTANT: CAN AI GENERATE CONCISE COMPUTER CODE?;2024;Journal of Information Technology Education: Innov;60;Sí;Sí;Sí;No;Sí;Cumple 3/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: Sí
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: Cumple 3/4 criterios
RELEVANCIA: 60/100
"
14;IEEE;VSEST 29110 Tool: Using ChatGPT to Evaluate the Implementation of the ISO/IEC 29;2024;IEEE Access;55;Sí;No;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 55/100
"
15;Scopus;Managing expectations towards AI tools for software development: a multiple-case;2025;Information Systems and e-Business Management;55;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 55/100
"
16;Scopus;Fairness-aware machine learning engineering: how far are we?;2024;Empirical Software Engineering;55;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 55/100
"
17;IEEE;2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE);2024;2024 IEEE/ACM 46th International Conference on Sof;50;Sí;Sí;No;Sí;Sí;Cumple 3/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: Sí
RAZÓN: Cumple 3/4 criterios
RELEVANCIA: 50/100
"
18;IEEE;2024 IEEE/ACM International Workshop on Natural Language-Based Software Engineer;2024;2024 IEEE/ACM International Workshop on Natural La;50;Sí;No;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 50/100
"
19;Scopus;Cloud-based machine learning for scalable classification of software requirement;2025;Systems and Soft Computing;50;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 50/100
"
20;Scopus;Integrating Generative AI for Advancing Agile Software Development and Mitigatin;2024;International Journal of Advanced Computer Science;50;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 50/100
"
