source;doi;titulo;autores;año;venue;crit_1_ai_ml;crit_2_se_context;crit_3_empirical;crit_4_organizational;score;razon_decision;nota_rayyan
IEEE Xplore;10904141;Exploring the Integration of Generative AI Tools in Software Testing Education: A Case Study on ChatGPT and Copilot for Preparatory Testing Artifacts in Postgraduate Learning;Haldar, Susmita and Pierce, Mary and Fernando Capretz, Luiz;2025;IEEE Access;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10735191;Assessing GitHub Copilot in Solidity Development: Capabilities, Testing, and Bug Fixing;Baralla, Gavina and Ibba, Giacomo and Tonelli, Roberto;2024;IEEE Access;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10646341;VSEST 29110 Tool: Using ChatGPT to Evaluate the Implementation of the ISO/IEC 29110 Work Products;Mejía, Jezreel and Terrón-Macias, Victor and Muñoz, Mirna and Terrón-Hernández, ;2024;IEEE Access;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10548766;2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE);Dolata, Mateusz and Lange, Norbert and Schwabe, Gerhard;2024;2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE);Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10812696;Cypress Copilot: Development of an AI Assistant for Boosting Productivity and Transforming Web Application Testing;Nettur, Suresh Babu and Karpurapu, Shanthi and Nettur, Unnati and Gajja, Likhit ;2025;IEEE Access;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10870152;Analysis of ChatGPT-Generated Codes Across Multiple Programming Languages;Almanasra, Sally and Suwais, Khaled;2025;IEEE Access;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10647145;2024 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE);Shome, Arumoy and Cruz, Luìs and Van Deursen, Arie;2024;2024 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE);Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;11218044;Preconditions and Postconditions as Design Constraints for LLM Code Generation;Newcomb, Luke and Newcomb, Alexandra and Ochoa, Omar;2025;IEEE Access;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10727139;2024 IEEE/ACM 46th International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER);Mishra, Shyamal and Chatterjee, Preetha;2024;2024 IEEE/ACM 46th International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER);Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10549231;2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE);Serafini, Raphael and Otto, Clemens and Horstmann, Stefan Albert and Naiakshina,;2024;2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE);Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;9568959;A Literature Review of Using Machine Learning in Software Development Life Cycle Stages;Shafiq, Saad and Mashkoor, Atif and Mayr-Dorn, Christoph and Egyed, Alexander;2021;IEEE Access;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;11269792;Analyzing LLM-Generated Code According to Four ISO/IEC 5055:2021 Categories;Krebs, Rasmus and Mazumdar, Somnath;2025;IEEE Access;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10179899;Requirements Engineering in Machine Learning Projects;Gjorgjevikj, Ana and Mishev, Kostadin and Antovski, Ljupcho and Trajanov, Dimita;2023;IEEE Access;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;9388660;CaPBug-A Framework for Automatic Bug Categorization and Prioritization Using NLP and Machine Learning Algorithms;Ahmed, Hafiza Anisa and Bawany, Narmeen Zakaria and Shamsi, Jawwad Ahmed;2021;IEEE Access;Sí;Sí;No;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: No
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10305170;An Extended Survey Concerning the Significance of Artificial Intelligence and Machine Learning Techniques for Bug Triage and Management;Bocu, Razvan and Baicoianu, Alexandra and Kerestely, Arpad;2023;IEEE Access;Sí;Sí;Sí;Sí;No;Criterios de exclusión: duplicate;"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: No
Razón: Criterios de exclusión: duplicate"
IEEE Xplore;10870104;Exploring the Landscape of Programming Language Identification With Machine Learning Approaches;Verma, Amandeep and Saha, Rahul and Kumar, Gulshan and Brighente, Alessandro and;2025;IEEE Access;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10538131;Review and Empirical Analysis of Machine Learning-Based Software Effort Estimation;Rahman, Mizanur and Sarwar, Hasan and Kader, MD. Abdul and Gonçalves, Teresa and;2024;IEEE Access;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;9808768;2022 IEEE/ACM 1st International Workshop on Software Engineering for Responsible Artificial Intelligence (SE4RAI);Kolltveit, Ask Berstad and Li, Jingyue;2022;2022 IEEE/ACM 1st International Workshop on Software Engineering for Responsible Artificial Intelligence (SE4RAI);Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;9826168;2022 IEEE/ACM 4th International Workshop on Software Engineering Research and Practices for the IoT (SERP4IoT);Gopalakrishna, Nikhil Krishna and Anandayuvaraj, Dharun and Detti, Annan and Bla;2022;2022 IEEE/ACM 4th International Workshop on Software Engineering Research and Practices for the IoT (SERP4IoT);Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10677006;Improved Software Effort Estimation Through Machine Learning: Challenges, Applications, and Feature Importance Analysis;Terlapu, Panduranga Vital and Raju, Kalidindi Kishore and Kiran Kumar, G. and Ja;2024;IEEE Access;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10843220;Bridging Precision and Complexity: A Novel Machine Learning Approach for Ambiguity Detection in Software Requirements;Izhar, Rahat and Bhatti, Shahid N. and Alharthi, Sultan A.;2025;IEEE Access;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
